MESS_DATUM;SD_SO
2015010103;0.0
2015010104;0.0
2015010105;0.0
2015010106;0.0
2015010107;0.0
2015010108;0.0
2015010109;11.0
2015010110;60.0
2015010111;49.0
2015010112;59.0
2015010113;55.0
2015010114;60.0
2015010115;60.0
2015010116;3.0
2015010117;0.0
2015010118;0.0
2015010119;0.0
2015010120;0.0
2015010203;0.0
2015010204;0.0
2015010205;0.0
2015010206;0.0
2015010207;0.0
2015010208;0.0
2015010209;0.0
2015010210;0.0
2015010211;0.0
2015010212;0.0
2015010213;1.0
2015010214;6.0
2015010215;5.0
2015010216;0.0
2015010217;0.0
2015010218;0.0
2015010219;0.0
2015010220;0.0
2015010303;0.0
2015010304;0.0
2015010305;0.0
2015010306;0.0
2015010307;0.0
2015010308;0.0
2015010309;0.0
2015010310;0.0
2015010311;0.0
2015010312;0.0
2015010313;0.0
2015010314;0.0
2015010315;0.0
2015010316;0.0
2015010317;0.0
2015010318;0.0
2015010319;0.0
2015010320;0.0
2015010403;0.0
2015010404;0.0
2015010405;0.0
2015010406;0.0
2015010407;0.0
2015010408;0.0
2015010409;18.0
2015010410;60.0
2015010411;60.0
2015010412;60.0
2015010413;45.0
2015010414;44.0
2015010415;20.0
2015010416;0.0
2015010417;0.0
2015010418;0.0
2015010419;0.0
2015010420;0.0
2015010503;0.0
2015010504;0.0
2015010505;0.0
2015010506;0.0
2015010507;0.0
2015010508;0.0
2015010509;27.0
2015010510;60.0
2015010511;60.0
2015010512;60.0
2015010513;60.0
2015010514;60.0
2015010515;37.0
2015010516;12.0
2015010517;0.0
2015010518;0.0
2015010519;0.0
2015010520;0.0
2015010603;0.0
2015010604;0.0
2015010605;0.0
2015010606;0.0
2015010607;0.0
2015010608;0.0
2015010609;0.0
2015010610;0.0
2015010611;6.0
2015010612;46.0
2015010613;59.0
2015010614;8.0
2015010615;0.0
2015010616;0.0
2015010617;0.0
2015010618;0.0
2015010619;0.0
2015010620;0.0
2015010703;0.0
2015010704;0.0
2015010705;0.0
2015010706;0.0
2015010707;0.0
2015010708;0.0
2015010709;0.0
2015010710;1.0
2015010711;12.0
2015010712;60.0
2015010713;56.0
2015010714;5.0
2015010715;15.0
2015010716;15.0
2015010717;0.0
2015010718;0.0
2015010719;0.0
2015010720;0.0
2015010803;0.0
2015010804;0.0
2015010805;0.0
2015010806;0.0
2015010807;0.0
2015010808;0.0
2015010809;0.0
2015010810;0.0
2015010811;0.0
2015010812;0.0
2015010813;0.0
2015010814;0.0
2015010815;0.0
2015010816;0.0
2015010817;0.0
2015010818;0.0
2015010819;0.0
2015010820;0.0
2015010903;0.0
2015010904;0.0
2015010905;0.0
2015010906;0.0
2015010907;0.0
2015010908;0.0
2015010909;0.0
2015010910;0.0
2015010911;0.0
2015010912;0.0
2015010913;0.0
2015010914;0.0
2015010915;0.0
2015010916;0.0
